,TicketID,Summary,unclean,Top2Grams,Top3Grams,Top4Grams,Automation Category
478,1012096,federation access,federation access,federation access,No Pattern,work not try access,
479,823169,federation access,federation access,federation access,No Pattern,multiple device alert sjp,
480,697888,federation access,federation access,federation access,No Pattern,not correct mention not,
481,726081,federation access,federation access,federation access,No Pattern,block do not contact,
482,736830,federation access,federation access,federation access,No Pattern,switch check update priority,
483,966276,federation access,federation access,federation access,No Pattern,assign engineer check physically,
484,844197,federation access,federation access,federation access,No Pattern,floor block wing ii,
485,956784,federation access,federation access,federation access,No Pattern,brightness not workig laptop,
486,716574,federation access,federation access,federation access,No Pattern,kindly check device kindly,
487,1130196,federation access,Federation access,federation access,No Pattern,kindly enable permission modify,
488,985764,federation access telefonicacom domain,Federation Access - telefonica.com domain,federation access,federation access telefonicacom,would verizon portal day,
489,937453,federation access enable,federation access enabled,federation access,federation access enable,look issue fix end,
490,937701,federation access enable,FEDERATION ACCESS IS ENABLED,federation access,federation access enable,add folder outlook needfull,
491,772084,federation access enable,FEDERATION ACCESS IS ENABLED,federation access,federation access enable,anti virus issue get,
492,711041,federation access need enable,Federation Access need to be enable,federation access,federation access need,raise enable access kindly,
493,746790,federation access need enable,Federation Access Need to be enable,federation access,federation access need,sccm server ecsccmfep khobarsccmdp,
494,860503,federation access need enable,Federation Access Need to be enable,federation access,federation access need,mention server check needful,
495,756635,federation access need enable,Federation Access Need to be enable,federation access,federation access need,mention server check needful,
496,973960,federation access need enable,Federation Access Need to be enable,federation access,federation access need,day can not access,
497,705062,federation access need enable,Federation Access Need to be enable,federation access,federation access need,transfer ticket noc proxy,
498,1169715,federation access need enable,Federation Access Need to be enable,federation access,federation access need,fully hrs bother come,
499,1126469,federation access need enable,Federation Access Need to be enable,federation access,federation access need,laptop rebuild stop work,
500,820554,federation access need enable,Federation Access Need to be enable,federation access,federation access need,system like enable port,
501,1108943,federation access need enable,Federation Access Need to be enable,federation access,federation access need,want access savigent server,
502,797041,federation access need enable,Federation Access Need to be enable,federation access,federation access need,need add will will,
503,846889,federation access need enable,Federation Access Need to be enable.,federation access,federation access need,assiston manager correct allocation,
504,704110,federation access need enable,Federation Access Need to be enable.,federation access,federation access need,ticket central local img,
505,832640,federation access need enable,Federation Access Need to be enable.,federation access,federation access need,bangalore location need attention,
506,844201,federation access need enable,Federation Access Need to be enable.,federation access,federation access need,hiplease assist employee queryregard,
507,904939,federation access need enable,Federation Access Need to be enable.,federation access,federation access need,hiplease assist employee queryregard,
508,1061261,federation access need enable,Federation Access Need to be enable.,federation access,federation access need,hiwe not concern change,
509,889518,federation access need enable,Federation Access Need to be enable.,federation access,federation access need,cpu utilization mention device,
510,1098156,federation access need enable,Federation Access Need to be enable.,federation access,federation access need,high latency peer ip,
511,854506,federation access need enable,Federation Access Need to be enable.,federation access,federation access need,high latency destinationpdc raise,
512,836845,federation access need enable,Federation Access Need to be enable.,federation access,federation access need,high latency yvw citirx,
513,882441,federation access communicate client domain,Federation access to communicate client domain,federation access,communicate client domain,hostname change request laptop,
514,743350,federation access technicolorcom,FEDERATION ACCESS TO technicolor.com,federation access,federation access technicolorcom,laptop adaptor lose case,
515,916046,federation access technicolorcom,FEDERATION ACCESS TO technicolor.com,federation access,federation access technicolorcom,room audit ntc room,
516,1006611,federation access technicolorcom,FEDERATION ACCESS TO technicolor.com,federation access,federation access technicolorcom,internal source multiple remote,
517,896453,federation access technicolorcom,FEDERATION ACCESS TO technicolor.com,federation access,federation access technicolorcom,internal source multiple remote,
518,994349,federation access technicolorcom,FEDERATION ACCESS TO technicolor.com,federation access,federation access technicolorcom,packet lose shanghai location,
519,928141,fedex label create,FedEX label created,fedex label,fedex label create,latency dana peer ip,
520,14916,fedex label creation,FEDEX LABEL CREATION,fedex label,fedex label creation,host router inwilahydr inwilahydr,
521,767108,fedex label creation,FEDEX LABEL CREATION,fedex label,fedex label creation,hyper link not work,
522,815996,fedex label creation,FedEX label creation,fedex label,fedex label creation,hyperv base server os,
523,816583,fedex label need create,fedex label need to create,fedex label,label need create,connect vpn can not,
524,713465,fedex label user,fedex labels for the user,fedex label,fedex label user,raise behalf user idcrp,
525,587351,fedex shipment label create,FEDEX SHIPMENT LABEL CREATED,label create,shipment label create,not right ticket allocate,
526,587371,fedex shipment label create tony zha,FEDEX SHIPMENT LABEL CREATED FOR Tony Zha,label create,shipment label create,new laptop configure laptop,
527,760203,feequent account lockout,Feequent account lockout,account lockout,feequent account lockout,desktop sap po not,
528,1180667,ferquent account lockout,Ferquent account lockout,account lockout,ferquent account lockout,complete mandatory wipro training,
529,895201,file unresponsive,File 02 Unresponsive,file unresponsive,No Pattern,new vlan storage device,
530,908530,finland admin vpn feel slow wrong,"Finland Admin VPN feels slow, is something wrong?",vpn feel,vpn feel slow,reset password user detail,
531,1161501,firewall deny,Firewall Deny,firewall deny,No Pattern,want access savigent server,
532,1011028,firewall deny traffic,Firewall Deny traffic,firewall deny,firewall deny traffic,reset ad password not,
533,1078560,firewall ip need remove tacac,Firewall IP Need to be removed from Tacacs,ip need,ip need remove,reset ad password not,
534,830900,firewall block access,Firewall is blocking access.,block access,firewall block access,icmp access ps ec,
535,752135,flash drive problem,Flash drive problem,flash drive,flash drive problem,No Pattern,
536,882512,flex project request,Flex project request,flex project,flex project request,would pass system issue,
537,895186,foglight alarm server,Foglight Alarms For Server - 0857-ekb-remrep.wipro.com,alarm server,foglight alarm server,idrac ip not ping,
538,715445,user -PRON- would,for Below user Id,No Pattern,No Pattern,ie chrome unable install,
539,892824,enable bitlocker,for enabling Bitlocker,enable bitlocker,No Pattern,ie degradation outlook configuration,
540,1166908,entire toshibha odc sjp network slowness reconnect issue,For entire Toshibha ODC in SJP network slowness and reconnecting issues,sjp network,entire toshibha odc,not reach reach number,
541,1035211,harden server,for hardening the servers,harden server,No Pattern,ifd vlan change st,
542,701218,forget password,Forget password,forget password,No Pattern,be sw sh log,
543,770656,forget password,Forget password,forget password,No Pattern,No Pattern,
544,753438,forget password,Forgot password,forget password,No Pattern,room floor wing switch,
545,1015624,forget password,Forgot password,forget password,No Pattern,account face network issue,
546,888258,forget password,Forgot password,forget password,No Pattern,need add static route,
547,735664,forget password,Forgot password,forget password,No Pattern,hdc apple cs application,
548,735667,forget password,Forgot password,forget password,No Pattern,location user face network,
549,851182,forget password,Forgot password,forget password,No Pattern,doj psp sap correct,
550,847764,forget password,Forgot password,forget password,No Pattern,increase bw hca mb,
551,1041359,forget password,Forgot Password,forget password,No Pattern,install java contact number,
552,1058953,forget password,Forgot password,forget password,No Pattern,install software new laptop,
553,1099971,forget password,Forgot password,forget password,No Pattern,project vpn connectivity issue,
554,902484,forget password,Forgot password,forget password,No Pattern,intermittent alert sarjapur location,
555,1094005,forget password,Forgot password,forget password,No Pattern,issue gage network ukpark,
556,1008335,forget password,forgot password,forget password,No Pattern,service ksa not work,
557,881146,forget password,Forgot password,forget password,No Pattern,internet explorer browser issue,
558,840870,forget password,Forgot password,forget password,No Pattern,can not display webpage,
559,896706,forget password,Forgot password,forget password,No Pattern,internet explorer not work,
560,767318,forget password,Forgot password,forget password,No Pattern,internet explorer not open,
561,801522,forget password,Forgot password,forget password,No Pattern,internet explorer not work,
562,762807,forget password,Forgot password,forget password,No Pattern,internet explorer version update,
563,831721,forget password,Forgot password,forget password,No Pattern,internet explorer version update,
564,1080552,forget password,Forgot password,forget password,No Pattern,internet not accessible cdc,
565,776836,forget password,Forgot password,forget password,No Pattern,internet issue un install,
566,398832,forget password,Forgot password,forget password,No Pattern,internet issue unable login,
567,1181739,forget password,Forgot password,forget password,No Pattern,blue coat agent blocking,
568,869988,forget password,Forgot password,forget password,No Pattern,internet site not work,
569,825259,forget password,Forgot password,forget password,No Pattern,internet slowness peel park,
570,808648,forget password,Forgot password,forget password,No Pattern,internet slowness peel park,
571,1031127,forget password,Forgot password,forget password,No Pattern,internet traffic shift primary,
572,914574,forget password,Forgot Password,forget password,No Pattern,intranet server access remotely,
573,916941,forget password,Forgot password,forget password,No Pattern,intranet site not able,
574,768336,forget password,Forgot password,forget password,No Pattern,ios upgradation bp odc,
575,864623,forget password,forgot password,forget password,No Pattern,charle schwab odc switch,
576,854876,forget password,Forgot password,forget password,No Pattern,location server segment validation,
577,1165694,forget password,Forgot password,forget password,No Pattern,ip address mac address,
578,1137936,forget password,Forgot password,forget password,No Pattern,ip pool request ec,
579,849496,forget password,Forgot password,forget password,No Pattern,segment bat ss cdc,
580,1082921,forget password,forgot password,forget password,No Pattern,server not present list,
581,709685,forget password,Forgot password,forget password,No Pattern,blacklist ip dmz ip,
582,799137,forget password,forgot password,forget password,No Pattern,isd call not connect,
583,1063633,forget password,Forgot password,forget password,No Pattern,issue access email laptop,
584,695753,forget password,Forgot password,forget password,No Pattern,access new wipro site,
585,705939,forget password,Forgot password,forget password,No Pattern,issue resolve user close,
586,760124,forget password,Forgot password,forget password,No Pattern,password phone number office,
587,811461,form issue,Form W-4 (Last Name Issue),form issue,No Pattern,not route ticket connect,
588,1044830,format,FORMAT,No Pattern,No Pattern,issue access helpline mywipro,
589,1044847,format,format,No Pattern,No Pattern,issue latency ir switch,
590,966996,format,format,No Pattern,No Pattern,issue loop ip address,
591,554306,format,format,No Pattern,No Pattern,issue loop ip address,
592,885802,format laptop,format laptop,format laptop,No Pattern,issue lync asking password,
593,488907,format,formating,No Pattern,No Pattern,issue sendreceive email office,
594,556075,free ip require idrac,Free IPs required for IDRAC,ip require,free ip require,No Pattern,
595,443356,free drive spaceonly mb available,Freeing up C drive Space.Only 63 MB is available.,free drive,drive spaceonly mb,itl tranig vedio not,
596,459219,free drive spaceonly mb available,Freeing up C drive Space.Only 63 MB is available.,free drive,drive spaceonly mb,not related wipro vdi,
597,658537,free disk space performance issue,Freeing up disk space and other performance issues,disk space,free disk space,java error internet explorer,
598,496874,freen ip require segment check share asap,Freen ip required in the 203.91.223.X segment. Please check and share it ASAP.,ip require,ip require segment,not able login tacacs,
599,657652,freq acclockout issue,freq acc.lockout issue,freq acclockout,freq acclockout issue,jo direct access issue,
600,455402,freq account lock issue,freq account lock issue,account lock,account lock issue,john have issue lanwlan,
601,596324,freqaccount lock issue,freq.account lock issue,lock issue,freqaccount lock issue,join webe hyper quality,
602,618887,frequent account lock,Frequent account lock,frequent account,frequent account lock,project ip segment require,
603,535072,frequent account lock,Frequent account lock,frequent account,frequent account lock,password issue otp request,
604,524737,frequent account lock,Frequent account lock,frequent account,frequent account lock,ka mail deliver issue,
605,461535,frequent account lock,Frequent account lock,frequent account,frequent account lock,issue itms issue transfer,
606,495706,frequent account lock,Frequent account lock,frequent account,frequent account lock,karthik resolve issue violate,
607,634232,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,kartik nanjundiah satyaprakash wipro,
608,642920,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,kdc odc mmchina conti,
609,628950,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,kdc outlook isue odc,
610,553395,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,ec latency high vrf,
611,547664,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,keyboardtouch pad not work,
612,570497,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,keyboardtouch pad not work,
613,528236,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,pdc packet shaper class,
614,674301,frequent account lockout,frequent account lockout,frequent account,frequent account lockout,kindly add user hostname,
615,659889,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,kindly arrange noc chennai,
616,498520,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,kindly assist route concern,
617,499116,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,site facebook youtube ip,
618,488023,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,kindly user ist user,
619,468185,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,kindly user indian time,
620,470504,frequent account lockout,Frequent Account lockout,frequent account,frequent account lockout,change vlan mention ip,
621,490344,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,user not respond ticket,
622,557025,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,kindly check network backline,
623,530327,frequent account lockout,Frequent Account lockout,frequent account,frequent account lockout,kindly check network backline,
624,566812,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,kindly check network backline,
625,558032,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,check vpn connectivity destination,
626,572997,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,check user face browser,
627,561842,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,check user face browser,
628,563924,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,fetch backup mail server,
629,401092,frequent account lockout,Frequent account lockout,frequent account,frequent account lockout,kindly config laptop asset,
630,429627,frequent account lockout issue,Frequent account lockout issue,frequent account,frequent account lockout,kindly config laptop asset,
631,430712,frequent account lockout issue,frequent account lockout issue,frequent account,frequent account lockout,kindly config laptop asset,
632,452819,frequent account lockout problem,Frequent account lockout problem,frequent account,frequent account lockout,kindly configure snmp ip,
633,601063,frequent account lockout,Frequent account lockout...,frequent account,frequent account lockout,kindly configure snmp ip,
634,605577,frequent account lockout,Frequent account lockout...,frequent account,frequent account lockout,ec ps primary secondary,
635,447033,frequent account lockout,Frequent account lockout...,frequent account,frequent account lockout,new ct odc bandwidth,
636,431726,frequent account lockout,Frequent account lockout...,frequent account,frequent account lockout,mb bandwidth class eplus,
637,508457,frequent account lockout,Frequent account lockout...,frequent account,frequent account lockout,enable access give destination,
638,508016,frequent account lockout,Frequent account lockout...,frequent account,frequent account lockout,find attached mail referrence,
639,506152,frequent account lockout,Frequent account lockout...,frequent account,frequent account lockout,kindly find cubicle detail,
640,665579,frequent account lockout,Frequent account lockout...,frequent account,frequent account lockout,room access radware lan,
641,578926,frequent account lockout,Frequent account lockout...,frequent account,frequent account lockout,segment coop norge project,
642,395877,frequent account lookout,Frequent account lookout,frequent account,frequent account lookout,month utilization report circuit,
643,619921,frequent accountlockout,Frequent Accountlockout,frequent accountlockout,No Pattern,month utilization report circuit,
644,430388,frequent accountlockout,Frequent Accountlockout,frequent accountlockout,No Pattern,address exaclty locate ip,
645,1073739,frequent ad account lockout,Frequent AD account lockout,account lockout,frequent ad account,share moth utilization report,
646,1091122,frequent connection loss connect client site,Frequent connection loss while connecting to client sites,connect client,loss connect client,mac address bbdec ip,
647,474892,frequent lock,Frequent lock,frequent lock,No Pattern,omit ip dhcp scope,
648,471084,frequent lock,Frequent lock,frequent lock,No Pattern,kindly provide free port,
649,546357,frequent lock,frequent lock out,frequent lock,No Pattern,kindly provide ip address,
650,544836,frequent lockout,frequent lockout,frequent lockout,No Pattern,kindly provide pool ip,
651,1012337,frequent lockout issue,frequent lockout issue,lockout issue,frequent lockout issue,check cpu utilization device,
652,954386,frequently account lock issue,Frequently account lock issue,account lock,account lock issue,kindly provide console michelin,
653,900101,frequently ask install file,frequently asking to install some file,ask install,ask install file,utilization report zna csssl,
654,974321,server connected network face issue needful early,"From  all the servers which we are connected the same network still we are facing the issues, Please do the needful at the earliest.",face issue,issue needful early,kindly provide utilization report,
655,946563,th december ecube task reflect employee rajat onle tmss stander task list,from 8th December none of the E-Cube tasks are reflecting for the employee Rajat (284018). Onle TMS's stander tasks are listing.,task reflect,ecube task reflect,bandwidth utilization report avago,
656,709661,frquent account lock behalf user schemb,frquent account lock behalf user (schemb ),account lock,lock behalf user,yser user sit tower,
657,1009825,fs file server appear,FS01 file server appears to be down,fs file,fs file server,mention not advertise bgp,
658,623240,fsham password issue,FSHAM= password issue,password issue,fsham password issue,week bandwidth utilization report,
659,709657,ftr approver change,FTR approver changes,ftr approver,ftr approver change,share moth utilization report,
660,663642,ftrennesasa,FT-Rennes-ASA is down | 10.155.76.6,No Pattern,No Pattern,kindly share location ip,
661,480324,function module upload purchase order,Function Module to upload Purchase Orders,module upload,upload purchase order,kindly share ip segment,
662,536660,fw critical alarm occur eccasimp model,FW: A CRITICAL alarm has occurred on eccasimp03 (Model Name=CDC5-S2GA-C6500-L2.wipro.com),fw critical,fw critical alarm,report month kindly update,
663,972964,fw critical alarm occur eccasimp model typeswciscoios,FW: A CRITICAL alarm has occurred on eccasimp04 (Model Name=WT-TEMPRE-NSN-L3-SW1.wipro.com)(Model Type=SwCiscoIOS),critical alarm,fw critical alarm,kindly share citi monthly,
664,975022,fw critical alarm ecsaclwiprocom chassi,FW: A CRITICAL Alarm on ~ EC4-S28A-C6506-L2.wipro.com ~ 10.209.2.60 ~ CHASSIS DOWN,fw critical,fw critical alarm,kindly share ip detail,
665,975223,fw change location,FW: Changing location,fw change,fw change location,kindly share ip location,
666,501014,fw confirmation appraisal error,FW: Confirmation Appraisal Error,confirmation appraisal,fw confirmation appraisal,source ip belong location,
667,501013,fw critical project requirement request,FW: Critical Project requirement: Request No. 2150576,fw critical,fw critical project,source ip belong location,
668,1056432,fw gts indiadomestic request create wt,FW: GTS India-Domestic 3000505064  Request has been Created - WT01 - 268357,request create,indiadomestic request create,source ip belong location,
669,930535,fw not access helpline,FW: I do not have access to Helpline,access helpline,fw not access,source ip belong location,
670,1067958,fw incident work progress,FW: Incident No :1086877 is under Work in Progress,incident work,incident work progress,source ip belong location,
671,1046806,fw incident user clarify,FW: Incident No :608859 is under User To Clarify,fw incident,fw incident user,share monthly capacity dashboard,
672,1040970,fw local onsite policy,FW: Local onsite policy,fw local,local onsite policy,location week utilization report,
673,927110,fw not able log ticket,FW: not able to log a ticket,not able,not able log,share run configuration router,
674,1083948,fw onsite salary,FW: Onsite Salary,fw onsite,fw onsite salary,kindly share utilization report,
675,950870,fw pci,FW: PCI - 1.4.a,fw pci,No Pattern,kindly share utilization report,
676,1049155,fw pend user ucp reminder,Fw: Pending for User - UCP  #Reminder:2,fw pend,fw pend user,share bandwidth report current,
677,972506,fw pend user ucpticket -PRON- would reminder,FW: Pending for User - UCP-Ticket id: 1035342  #Reminder:3,fw pend,fw pend user,share bandwidth report current,
678,498103,fw qplc policy query,FW: QPLC policy query,fw qplc,fw qplc policy,kindly manual backup switch,
679,472736,fw qplc policy query,FW: QPLC policy query,fw qplc,fw qplc policy,manual backup mention device,
680,487013,fw rakesh relocation extension,FW: Rakesh Relocation Extension,rakesh relocation,rakesh relocation extension,manual backup mention device,
681,487035,fw rakesh relocation extension,FW: Rakesh Relocation Extension,rakesh relocation,rakesh relocation extension,manual backup mention device,
682,498071,fw rakesh relocation extension,FW: Rakesh Relocation Extension,rakesh relocation,rakesh relocation extension,manual backup mention device,
683,499274,fw reghlc,FW: REG#HLC#874960,fw reghlc,No Pattern,manual backup mention device,
684,498959,fw final settlement,FW: Regarding Final settlements-288065,fw final,fw final settlement,manual backup mention device,
685,475927,fw final settlement,FW: Regarding Final settlements-288065,fw final,fw final settlement,manual backup mention device,
686,430651,fw final settlement,FW: Regarding Final settlements-288065,fw final,fw final settlement,kindly asset pdc location,
687,506268,fw final settlement,FW: Regarding Final settlements-288065,fw final,fw final settlement,class ec packet shaper,
688,1047586,fw relocation,FW: Relocation,fw relocation,No Pattern,kochi location device dr,
689,1023733,fw spam notification new message,FW: Spam Notification: 2 New Messages,new message,notification new message,kochi primary link flucutuat,
690,1064241,fw test mail,FW: Test Mail,fw test,fw test mail,kochi webcast trouble shoot,
691,946562,fw test mail,FW: Test Mail,fw test,fw test mail,kodak application slowness issue,
692,951995,fw test mail,FW: Test Mail,fw test,fw test mail,location face slowness onsite,
693,960965,fw test mail,FW: Test Mail,fw test,fw test mail,location user face network,
694,996630,fw test mail,FW: Test Mail,fw test,fw test mail,usa available till pm,
695,989539,fw test t,FW: test ted call,fw test,fw test t,switch sjpsfaw device passport,
696,1129811,fw ticket number,FW: Ticket Number :: 663614,ticket number,fw ticket number,lan not get connect,
697,973184,fw tms link not visible mywipro,FW: TMS link is not visible in mywipro,link not,not visible mywipro,mv nj tp project,
698,881668,fw vashist sondhi mywipro not work,FW: Vashist Sondhi - MyWipro not working,not work,fw vashist sondhi,lan port need configure,
699,973548,fw ad password expiration reminder mail,FW: Your AD Password Expiration Reminder mail.,ad password,ad password expiration,lan port need configure,
700,618790,-PRON- would -PRON- would not login webmail mailbox migrate migrate facing issue,g103317 is my id. with this id i can not login to webmail. my mailbox is migrated to o365. after migrating m facing this issue.,login webmail,not login webmail,lan port not work,
701,461972,ga password issue,GA275065- password issue,password issue,ga password issue,lan port need configure,
702,726097,gakulka vpn link send,gakulka= vpn link has to be sent,gakulka vpn,gakulka vpn link,lan port need configure,
703,740336,gal modifcation path,gal modifcation path,gal modifcation,gal modifcation path,lan port need configure,
704,619922,gate way,gate way,gate way,No Pattern,need configured inn vlan,
705,536332,gateway issue,gateway issue,gateway issue,No Pattern,need configured inn vlan,
706,506288,gateway issue,Gateway issue,gateway issue,No Pattern,need configured inn vlan,
707,521739,gateway issue,Gateway issue,gateway issue,No Pattern,need configured inn vlan,
708,471071,gateway issue,Gateway issue,gateway issue,No Pattern,need configured inn vlan,
709,396366,gateway issue,Gateway Issue,gateway issue,No Pattern,lan port need configure,
710,391116,gateway not open,gateway not opening.,not open,gateway not open,lan port need configure,
711,721197,gateway not work,Gateway not working,not work,gateway not work,lan port need configure,
712,732578,gateway not work,gateway not working.,not work,gateway not work,lan port need configure,
713,461403,gateway service not accessible,Gateway service is not accessible.,not accessible,service not accessible,lan port need configure,
714,484116,inaccessible,Gateway.wipro.com is inaccessible,No Pattern,No Pattern,lan port need configure,
715,547566,not work,Gateway.wipro.com is not working,not work,No Pattern,lan port need configure,
716,391584,gbakshi password issue,Gbakshi= password issue,password issue,gbakshi password issue,lan port need configure,
717,570081,gcc odc proxy issue,GCC ODC Proxy issue.,proxy issue,odc proxy issue,lan port need configure,
718,398888,gcccdcfg gcccdcfg,GCCCDC5-FG1_20121204 - GCCCDC5-FG1_2012120,gcccdcfg gcccdcfg,No Pattern,lan port need configure,
719,474048,gdcwvsnlmbpcf link crm -PRON- would cnm,GDC_W_VSNL__45MBP_497C2F Link Down CRM ID :CNM10001724231,would cnm,gdcwvsnlmbpcf link crm,lan port need configure,
720,634270,geo location alert,GEO LOCATION ALERTS,location alert,geo location alert,lan port need configure,
721,643912,get error window run disk space,getting error as windows is running out of disk space.,disk space,get error window,lan port need configure,
722,659005,get loop ip address,Getting Loop back ip address,ip address,loop ip address,lan port need configure,
723,467426,get message repeatedly screen pl guide need,getting this message repeatedly on my screen - pl guide what needs,pl guide,message repeatedly screen,lan port need configure,
724,469952,gndc internet site slow,GNDC internet site are very slow.,internet site,internet site slow,lan port need configure,
725,564240,gndc proxy,GNDC proxy,gndc proxy,No Pattern,lan port need configure,
726,573861,gnoc change voice vlan port follow mac address vlan cddca,GNOC ? Please change the VOICE VLAN  only for the port with the following MAC addresses to VLAN 50 00-1C-25-9D-D7-CA,mac address,follow mac address,lan port need configure,
727,561843,gnoc look mac address cce tower stack switch change port datum vlan voice vlan thank,GNOC team- Can you please look for MAC address 00-21-CC-6E-28-96 in the Tower 4 Stack Switch and change this port to data VLAN 15 and voice VLAN 16? Thank you.,mac address,tower stack switch,lan port need configure,
728,531133,gnoc look mac address debin tower stack switch change port vlan,GNOC team- Can you please look for MAC address 28-D2-44-00-E6-B9in the Tower 15 stack switch and change this port to VLAN 252 (10.165.225.240/28)? Thanks,mac address,tower stack switch,lan port need configure,
729,557432,gnoc look mac address debin tower stack switch change port vlan,GNOC team- Can you please look for MAC address 28-D2-44-00-E6-B9in the Tower 15 stack switch and change this port to VLAN 252 (10.165.225.240/28)? Thanks.,mac address,tower stack switch,lan port need configure,
730,566767,google chrome,Google chrome,google chrome,No Pattern,lan port need configure,
731,437197,google not work,Google not working,not work,google not work,lan port need configure,
732,605678,get new laptop configure,got a new laptop and should be configured,new laptop,get new laptop,lan port need configure,
733,404339,get new laptop need configure,got a new laptop need to be configured,need configure,get new laptop,lan port need configure,
734,428450,greddy mail not work,greddy31= mails not working,not work,mail not work,lan port need configure,
735,440144,group -PRON- would configuration outlook,Group ID configuration in Outlook,would configuration,would configuration outlook,lan port need configure,
736,600749,group policy issue,group policy issue,group policy,group policy issue,lan port need configure,
737,592773,gsk odc onsite unable connect,GSK ODC onsite unable to connect...,unable connect,onsite unable connect,lan port need configure,
738,453623,gsmc go new server monitor tool nimsoft request enable tcp port wtitms vm server sl vmid ip address,"GSMC are going with new server monitoring tool - NIMSOFT So, request to enable  1. TCP Port 48000 to 48030 bi-directionally from our WT-ITMS VM server''s -  Sl.	     VMID	                                 IP address 1	EC4VBKC3ITMSPRODVM517	10.215.5.61",ip address,vmid ip address,lan port need configure,
739,401480,gsmc backbone internet access,GSMC Backbone & Internet access down.,internet access,backbone internet access,lan port need configure,
740,453084,guest account removal desktop,Guest Account removal from desktop,guest account,account removal desktop,lan port need configure,
741,514922,guest -PRON- would creation pree meet,Guest Id creation for prees meet,would creation,would creation pree,lan port need configure,
742,677629,guest internet user count,Guest internet user count,internet user,internet user count,lan port need configure,
743,668498,guest wifi aberdeen not work correctly,Guest Wifi (Aberdeen) is not working correctly,not work,wifi aberdeen not,lan port need configure,
744,629665,guset -PRON- would creation,Guset Id creation,would creation,No Pattern,lan port need configure,
745,579633,guset -PRON- would creation,Guset Id creation,would creation,No Pattern,lan port need configure,
746,395397,guset wifi scope dhcp,Guset Wifi scope full on dhcp,wifi scope,guset wifi scope,lan port need configure,
747,650919,guwahati location,Guwahati Location Down,guwahati location,No Pattern,lan port need configure,
748,615809,hard datum recovery,Hard data recovery.,datum recovery,hard datum recovery,lan port need configure,
749,745220,hard disk,Hard Disk,hard disk,No Pattern,lan port need configure,
750,669949,hard disk corrupt,Hard Disk corrupted,hard disk,hard disk corrupt,lan port need configure,
751,587344,hard disk datum recovery,Hard Disk data recovery,hard disk,disk datum recovery,lan port need configure,
752,586816,hard disk issue,hard disk issue,hard disk,hard disk issue,lan port need configure,
753,883635,hard disk problem,Hard disk problem,hard disk,hard disk problem,lan port need configure,
754,868805,hard disk problem,Hard disk problem.,hard disk,hard disk problem,lan port need configure,
755,600298,hard disk problem,Hard disk problem...,hard disk,hard disk problem,lan port need configure,
756,740065,hard drive not work asset,Hard drive not working for asset 6565200291,not work,not work asset,lan port need configure,
757,974333,hard ware issue,hard ware issue,ware issue,hard ware issue,lan port need configure,
758,973924,harddisk damage need replacement,Harddisk is damaged needs replacement.....,need replacement,harddisk damage need,lan port need configure,
759,803502,hardisk,Hardisk,No Pattern,No Pattern,lan port need configure,
760,845960,hardphone issue,Hardphone issue.,hardphone issue,No Pattern,lan port need configure,
761,781398,hardware issue,Hardware Issue,hardware issue,No Pattern,lan port need configure,
762,779988,hardware issue,hardware issue,hardware issue,No Pattern,lan port need configure,
763,492970,hardware issue laptop not get swithc power supply show user update,"Hardware issue , laptop is not getting swithc on there is no power supply shows while do call the user and update",laptop not,hardware issue laptop,lan port need configure,
764,430537,hardware issue,hardware issue .,hardware issue,No Pattern,lan port need configure,
765,599541,hardware issue,Hardware issue..............,hardware issue,No Pattern,lan port need configure,
766,996279,hardware problem,hardware problem,hardware problem,No Pattern,lan port need configure,
767,778898,hardware problem,hardware problem,hardware problem,No Pattern,lan port need configure,
768,785774,hardware problem,hardware problem,hardware problem,No Pattern,lan port need configure,
769,620639,hardware problem,Hardware Problem,hardware problem,No Pattern,lan port need configure,
770,827770,hardware problem,Hardware problem,hardware problem,No Pattern,lan port need configure,
771,680016,hardware problem,Hardware problem,hardware problem,No Pattern,add domaincreat user profile,
772,640404,hasim password issue,HASIM- password issue,password issue,hasim password issue,laptop admin right vpn,
773,709674,have issue outlook,Having issue with outlook,have issue,have issue outlook,laptop asset boot slow,
774,692846,have issue outlook,Having issue with outlook,have issue,have issue outlook,user request need replace,
